ROW_NUM,PSTN_DSNF_PLC_NM,ADDR,OPER_HR,PIC_TELNO,LOT,LAT
1,진천읍 거점소독소,충청북도 진천군 진천읍 성석리 615-11,00:00 ~ 24:00,043-539-3593,127.45361,36.86147
2,삼리거점소독시설,경기도 광주시 곤지암읍 삼리 0681-0000,06:00 ~ 22:00,031-760-2879,127.32987,37.35204
3,덕산읍 거점소독소,충청북도 진천군 덕산읍 용몽리 0339-0032,00:00 ~ 24:00,043-539-3593,127.51462,36.91497
4,대치초소,충청남도 청양군 대치면 대치리 0006-0002,04:00 ~ 20:00,041-940-2975,126.88552,36.43631
5,음성거점소독소,충청북도 음성군 음성읍 신천리 0969-0000,00:00 ~ 24:00,043-871-3712,127.66238,36.92752
6,달성군 거점소독시설,대구광역시 달성군 현풍읍 대리 0186-0000,08:00 ~ 17:00,054-668-3862,128.4396258,35.6675574
7,해남군 거점소독시설,전라남도 해남군 해남읍 남외리 0550-0001,00:00 ~ 24:00,061-531-3924,126.588,34.56551
8,제천시 거점소독소,충청북도 제천시 봉양읍 장평리 0236-0011,00:00 ~ 00:00,043-641-6872,128.15223,37.13401
9,모가면 거점 및 이동통제초소,경기도 이천시 모가면 원두리 0256-0002,04:00 ~ 20:00,031-644-2645,127.47777,37.18091
10,포천2초소,경기도 포천시 창수면 주원리 산0217-0004,07:00 ~ 15:00,031-538-3874,127.15651,38.01676
11,포천4초소,경기도 포천시 신북면 만세교리 264-1,00:00 ~ 24:00,031-538-3874,127.24056,37.95486
12,포천3초소,경기도 포천시 영북면 자일리 0964-0005,07:00 ~ 15:00,031-538-3874,127.27225,38.12029
13,포천1초소,경기도 포천시 영중면 영송리 0619-0000,00:00 ~ 24:00,031-538-3874,127.20574,37.99759
14,궁평 거점소독시설,충청남도 예산군 예산읍 궁평리 0055-0007,04:00 ~ 20:00,041-339-7834,126.859,36.74027
15,양동 거점소독시설,경기도 양평군 양동면 단석리 0133-0001,05:00 ~ 21:00,031-770-2334,127.7483,37.40014
16,양평군 거점세척소독시설(평일),경기도 양평군 옥천면 옥천리 0006-0000,05:00 ~ 13:00,061-430-2156,127.48102,37.51871
17,개군 거점소독시설,경기도 양평군 개군면 공세리 0381-0025,13:00 ~ 21:00,031-770-2334,127.5283,37.46347
18,양산시 축산종합방역소,경상남도 양산시 하북면 용연리 1121-0026,04:00 ~ 20:00,055-392-5393,129.06651,35.43221
19,군위군 거점소독시설,대구광역시 군위군 군위읍 금구리 0800-0000,00:00 ~ 00:00,053-380-7935,128.56469,36.20725
20,안동시 거점소독시설,경상북도 안동시 풍산읍 노리 0215-0001,00:00 ~ 24:00,054-840-5494,128.63187,36.59066
21,울진군 거점소독시설,경상북도 울진군 매화면 매화리 0408-0000,06:00 ~ 22:00,054-789-6793,129.38357,36.9281
22,홍천군 거점소독시설,강원도 홍천군 홍천읍 하오안리 0204-0000,00:00 ~ 24:00,033-430-2731,127.84874,37.66803
23,거점소독시설,충청북도 증평군 증평읍 연탄리 0289-0002,00:00 ~ 24:00,043-835-3462,127.56875,36.78398
24,광천 운용리 거점세척소독시설,충청남도 홍성군 광천읍 운용리 0570-0003,02:00 ~ 18:00,041-630-1397,126.66142,36.52628
25,함양군 축산종합방역소,경상남도 함양군 함양읍 용평리 0915-0202,00:00 ~ 24:00,055-960-8142,127.74502,35.51169
26,창원시 축산종합방역소(진북면),경상남도 창원시 마산합포구 진북면 추곡리 0710-0000,06:00 ~ 20:00,055-225-5681,128.47215,35.16188
27,천안시 병천 거점소독시설,충청남도 천안시 동남구 병천면 탑원리 380-12,05:00 ~ 17:00,041-521-5729,127.30187,36.7534
28,속초거점소독시설,강원특별자치도 속초시 대포동 0302-0020,09:00 ~ 18:00,033-639-2417,128.60523,38.17088
29,부안군(행안),전라북도 부안군 행안면 진동리 0970-0001,00:00 ~ 24:00,063-580-4252,126.72602,35.7007
30,천북거점소독소,충청남도 보령시 천북면 신죽리 0214-0002,00:00 ~ 00:00,041-930-7902,126.59355,36.49445
31,초평면 거점소독소,충청북도 진천군 초평면 용정리 0213-0001,00:00 ~ 24:00,043-539-3593,127.53275,36.83291
32,이원면 사창리 거점소독소,충청남도 태안군 이원면 사창리 0230-0008,00:00 ~ 24:00,041-670-2821,126.27992,36.85263
33,이인초봉초소,충청남도 공주시 이인면 초봉리 0039-0018,06:00 ~ 14:00,041-840-3484,127.0743,36.37956
34,목천동 거점소독시설(1거점 농수산물도매시장),전라북도 익산시 목천동 0916-0004,00:00 ~ 24:00,063-859-7241,126.91772,35.91731
35,동수동거점소독시설,전라남도 나주시 동수동 0144-0021,00:00 ~ 24:00,061-339-7612,126.68242,34.97794
36,영동거점소독소,충청북도 영동군 용산면 율리 0758-0000,00:00 ~ 24:00,043-740-3442,127.80327,36.22253
37,남해읍 거점소독시설,경상남도 남해군 남해읍 평리 1187-0002,00:00 ~ 24:00,-,127.89603,34.83048
38,봉화군거점소독시설,경상북도 봉화군 봉화읍 적덕리 1148-0,00:00 ~ 24:00,054-679-6867,128.68845,36.87991
39,영주시 거점소독시설,경상북도 영주시 장수면 갈산리 0035-0000,00:00 ~ 24:00,0546397355,128.57035,36.77506
40,단양군 거점소독소,충청북도 단양군 영춘면 하리 0491-0000,00:00 ~ 00:00,043-420-2744,128.4841,37.06463
41,사리거점세척소독시설,충청북도 괴산군 사리면 방축리 0019-0002,00:00 ~ 24:00,043-833-3235,127.65647,36.81226
42,삼척시 거점소독시설,강원도 삼척시 등봉동 0303-0003,00:00 ~ 24:00,033-570-3398,129.1177,37.45702
43,진주시 축산종합방역소,경상남도 진주시 진성면 동산리 1370-0007,00:00 ~ 24:00,055-749-6201,128.24073,35.18978
44,경산시거점소독시설(하양),경상북도 경산시 하양읍 한사리 1202-0000,05:00 ~ 21:00,053-810-6736,128.83249,35.92592
45,"도드람김제FMC(도축전용,민간거점)",전라북도 김제시 백산면 부거리 1583-0006,07:00 ~ 18:00,063-540-3679,126.88616,35.84134
46,북이면사무소,충청북도 청주시 청원구 북이면 신대리 4-8,05:00 ~ 21:00,043-201-0768,127.5419,36.73919
47,동량면 거점소독소,충청북도 충주시 동량면 용교리 88-7,00:00 ~ 24:00,043-850-5874,127.92347,37.02785
48,앙성면 거점소독소,충청북도 충주시 앙성면 능암리 217-0,00:00 ~ 24:00,043-850-5874,127.82582,37.07884
49,상신리 거점소독시설,경기도 화성시 향남읍 상신리 0327-432,04:00 ~ 20:00,031-5189-2863,126.88973,37.11434
50,금승교차로,경기도 파주시 탄현면 금승리 0365-0000,05:00 ~ 13:00,031-940-4503,126.7414,37.8238
51,"곡성 거점소독,통제시설",전라남도 곡성군 삼기면 의암리 35-5,00:00 ~ 24:00,061-360-8371,127.22284,35.22739
52,강화군 상시거점소독시설,인천광역시 강화군 선원면 냉정리 1315-0001,00:00 ~ 24:00,032-930-4531,126.47314,37.70177
53,경주시 제2기 거점소독시설,경상북도 경주시 율동 0518-0010,05:00 ~ 21:00,054-779-6301,129.18999,35.80897
54,경주시 제 1기 거점소독장소,경상북도 경주시 천북면 신당리 0915-0021,05:00 ~ 21:00,054-779-6301,129.23824,35.89257
55,대소 모란식품 거점소독소,충청북도 음성군 대소면 오류리 0534-0039,18:00 ~ 03:00,043-871-3712,127.46907,36.989
56,고성군 거점소독시설,경상남도 고성군 고성읍 율대리 0746-0001,00:00 ~ 24:00,055-670-4326,128.33659,34.96811
57,신니면 거점소독소,충청북도 충주시 신니면 대화리 86-5,00:00 ~ 24:00,043-850-5874,127.67985,37.00319
58,천안시 목천 거점소독시설,충청남도 천안시 동남구 목천읍 삼성리 161-6,04:00 ~ 20:00,041-521-5729,127.17257,36.75986
59,금산군 거점소독시설,충청남도 금산군 금산읍 신대리 0422-0001,05:00 ~ 21:00,041-750-2592,127.50119,36.10197
60,동부거점소독센터,제주특별자치도 제주시 구좌읍 김녕리 0352-0018,06:00 ~ 20:00,064-728-3413,126.76042,33.55549
61,남원거점소독센터,제주특별자치도 서귀포시 남원읍 수망리 산0143-0000,06:00 ~ 20:00,064-760-2792,126.69812,33.33998
62,강진군 거점소독시설,전라남도 강진군 군동면 호계리 965-0,00:00 ~ 24:00,061-430-3244,126.7834,34.63688
63,도드람일죽거점소독시설,경기도 안성시 일죽면 가리 0485-0002,04:00 ~ 20:00,031-678-2606,127.48035,37.07644
64,알미산 거점소독시설,경기도 안성시 옥산동 0362-0000,04:00 ~ 20:00,031-678-2606,127.25061,37.00358
65,안중거점소독소,경기도 평택시 안중읍 안중리 0194-0012,04:00 ~ 20:00,031-8024-3833,126.93997,36.99659
66,군위군 거점소독시설,대구광역시 군위군 군위읍 금구리 0800-0000,00:00 ~ 24:00,054-480-5853,128.56469,36.20721
67,담양IC 이동통제거점초소,전라남도 담양군 담양읍 반룡리 584-7,00:00 ~ 24:00,061-380-2762,126.98031,35.29892
68,거점세척소독시설(석정리),충청남도 아산시 염치읍 석정리 9-1,00:00 ~ 24:00,041-537-3861,127.00858,36.80328
69,완주IC,전라북도 완주군 용진읍 상운리 산0008-0004,00:00 ~ 24:00,063-290-3248,127.15298,35.89453
70,파주시농업기술센터,경기도 파주시 아동동 91-6,05:00 ~ 13:00,031-940-4503,126.79529,37.76421
71,상주시 거점소독시설,경상북도 상주시 지천동 0106-0016,00:00 ~ 24:00,054-537-7473,128.15656,36.37187
72,여주시 가남읍 삼군리,경기도 여주시 가남읍 삼군리 0220-0004,04:00 ~ 19:00,031-887-3203,127.55666,37.22225
73,상주시 분뇨차량 전용 거점소독시설,경상북도 상주시 낙동면 분황리 0464-0005,09:00 ~ 17:00,054-537-7473,128.25909,36.4071
74,연풍거점세척소독소,충청북도 괴산군 연풍면 적석리 28-55,00:00 ~ 24:00,043-830-3232,127.98574,36.76502
75,팽성거점소독소,경기도 평택시 팽성읍 석근리 142-1,00:00 ~ 24:00,031-692-1836,127.04912,36.94111
76,남면 천수만로 거점소독소,충청남도 태안군 남면 당암리 980-0,06:00 ~ 22:00,041-670-2820,126.35886,36.62502
77,양주시 축산차량 거점소독소,경기도 양주시 봉양동 0891-0003,04:00 ~ 20:00,031-8082-7291,127.06438,37.86266
78,태백시 거점소독시설,강원도 태백시 황지동 0288-0005,07:00 ~ 15:00,033-550-3857,128.98672,37.205
79,연천군 거점세척소독소,경기도 연천군 연천읍 동막리 0431-0020,04:00 ~ 18:00,031-839-2325,127.07866,38.08467
80,비룡대교 거점소독소,경기도 연천군 백학면 노곡리 0278-0000,04:00 ~ 18:00,031-839-2325,126.9207,37.98932
81,문경시 거점소독시설,경상북도 문경시 불정동 0085-0001,00:00 ~ 24:00,054-550-6275,128.14318,36.64826
82,거점소독시설(여주시 하동),경기도 여주시 하동 0376-0002,06:00 ~ 22:00,031-887-2323,127.62707,37.296
83,창녕군거점소독시설,경상남도 창녕군 창녕읍 하리 0421-0002,00:00 ~ 24:00,055-530-6103,128.48288,35.56272
84,고성군 거점소독시설,강원도 고성군 토성면 아야진리 0478-0004,06:00 ~ 22:00,033-680-3721,128.54712,38.27162
85,흥덕 사료공장 거점소독시설,전라북도 고창군 흥덕면 신덕리 0035-0006,00:00 ~ 24:00,063-560-2613,126.69581,35.55677
86,영천시거점소독시설,경상북도 영천시 작산동 0231-0001,00:00 ~ 24:00,054-339-7174,128.95006,35.94043
87,동해시 거점소독시설,강원특별자치도 동해시 초구동 0110-0000,09:00 ~ 18:00,033-539-8834,129.08759,37.57652
88,청도군거점소독시설,경상북도 청도군 청도읍 월곡리 0427-0000,00:00 ~ 24:00,054-370-6557,128.75782,35.63116
89,동물검역센터,제주특별자치도 제주시 건입동 0908-0001,05:00 ~ 19:00,064-710-8546,126.54339,33.52334
90,원주시 신림 거점소독시설,강원도 원주시 신림면 용암리 1355-0000,05:00 ~ 17:00,033-737-4407,128.09483,37.21018
91,장수 거점소독시설,전라북도 장수군 계남면 호덕리 0556-0004,00:00 ~ 24:00,063-350-2426,127.58116,35.7267
92,성주군 거점소독시설,경상북도 성주군 대가면 옥성리 0356-0000,04:00 ~ 20:00,054-930-6685,128.2468,35.91422
93,고령군 거점소독시설,경상북도 고령군 성산면 기산리 0047-0000,00:00 ~ 24:00,-,128.33185,35.74263
94,청송군 거점소독시설,경상북도 청송군 현서면 구산리 0219-0005,00:00 ~ 24:00,-,128.89795,36.27099
95,김천시 거점소독시설,경상북도 김천시 구성면 하강리 0140-0000,04:00 ~ 20:00,054-421-2521,128.09855,36.08332
96,예천군 거점소독시설,경상북도 예천군 예천읍 청복리 0102-0001,00:00 ~ 24:00,-,128.47543,36.6347
97,하림전용,전라북도 익산시 망성면 어량리 0013-0014,00:00 ~ 24:00,-,127.04089,36.07677
98,거창군 거점소독시설,경상남도 거창군 거창읍 대평리 0554-0011,00:00 ~ 00:00,055-940-8142,127.92276,35.67802
99,목포시 거점소독시설,전라남도 목포시 대양동 0336-0001,00:00 ~ 24:00,061-270-8472,126.42095,34.83676
100,영양군 거점소독시설,경상북도 영양군 입암면 산해리 0758-0000,00:00 ~ 24:00,-,129.05748,36.59602
101,의성군 거점소독시설,경상북도 의성군 단촌면 방하리 0030-0001,00:00 ~ 24:00,054-830-6289,128.572,36.30726
102,영덕군 거점소독시설,경상북도 영덕군 영덕읍 화수리 0592-0000,00:00 ~ 24:00,-,129.37672,36.42606
103,칠곡군 거점소독시설,경상북도 칠곡군 지천면 연호리 산0141-0023,04:00 ~ 20:00,-,128.51272,35.91931
104,창원시 의창구 거점소독시설,경상남도 창원시 의창구 동읍 봉곡리 0176-0001,06:00 ~ 21:00,055-225-5681,128.66423,35.35299
105,함안군 거점소독시설,경상남도 함안군 가야읍 가야리 0123-0011,05:00 ~ 20:00,055-580-4475,128.38718,35.27197
106,통영시 거점소독시설,경상남도 통영시 광도면 죽림리 0417-0000,09:00 ~ 18:00,-,128.4124,34.87515
107,의령군 거점소독시설,경상남도 의령군 용덕면 교암리 0316-0001,00:00 ~ 24:00,-,128.28645,35.32849
108,합천군 율곡 거점소독시설,경상남도 합천군 율곡면 임북리 0570-0001,00:00 ~ 24:00,055-930-3563,128.17631,35.57542
109,합천군 야로 거점소독시설,경상남도 합천군 야로면 야로리 0361-0000,00:00 ~ 24:00,055-930-3563,128.16724,35.71373
110,밀양 거점소독시설,경상남도 밀양시 상남면 예림리 1510-0000,00:00 ~ 24:00,055-359-7179,128.75431,35.46125
111,산청군 거점소독시설,경상남도 산청군 산청읍 지리 0821-0000,09:00 ~ 18:00,-,127.88776,35.41437
112,거제시 거점소독시설,경상남도 거제시 사등면 오량리 0814-0000,00:00 ~ 24:00,-,128.49463,34.8882
113,하동 거점소독시설,경상남도 하동군 진교면 안심리 0229-0003,00:00 ~ 24:00,055-880-2438,127.87631,35.02145
114,철원군 거점소독시설,강원도 철원군 갈말읍 강포리 0002-0006,00:00 ~ 24:00,033-450-4826,127.29958,38.12883
115,양구군 거점소독시설,강원도 양구군 국토정중앙면 청리 1131-0011,06:00 ~ 20:00,033-480-7781,128.02912,38.10702
116,영월군 거점소독시설,강원도 영월군 남면 북쌍리 0193-0000,06:00 ~ 20:00,033-370-2301,128.41259,37.2097
117,강릉시 거점소독시설,강원도 강릉시 구정면 어단리 0478-0027,00:00 ~ 24:00,033-640-5593,128.89932,37.6979
118,양양군 거점소독시설,강원특별자치도 양양군 현남면 지경리 0001-0028,06:00 ~ 18:00,033-670-2706,128.80746,37.91819
119,인제군 거점소독시설,강원도 인제군 남면 어론리 0834-0001,00:00 ~ 24:00,033-460-2473,128.0635,37.93884
120,횡성군 거점소독시설(럼피스킨병 통제초소3),강원특별자치도 횡성군 횡성읍 조곡리 0422-0001,00:00 ~ 24:00,033-340-2390,128.01323,37.49391
121,정선군 거점소독시설,강원도 정선군 정선읍 광하리 0959-0004,06:00 ~ 22:00,033-560-2446,128.58661,37.3579
122,화천군 광덕리 통제초소,강원도 화천군 사내면 광덕리 1139-0030,00:00 ~ 24:00,033-440-2942,127.48421,38.07907
123,화천군 거점소독시설,강원도 화천군 상서면 신풍리 0796-0000,00:00 ~ 24:00,033-440-2942,127.6825,38.11656
124,원주시 호저 거점소독시설,강원도 원주시 호저면 주산리 0727-0006,05:00 ~ 17:00,033-737-4407,127.92198,37.42274
125,원주시 문막읍 취병리 거점소독시설,강원도 원주시 문막읍 취병리 1130-0001,05:00 ~ 17:00,033-737-4407,127.80543,37.30419
126,철원읍 율이리 통제초소,강원도 철원군 철원읍 율이리 산0206-0002,00:00 ~ 24:00,033-450-4826,127.16364,38.24376
127,춘천시 거점소독시설,강원도 춘천시 신동면 팔미리 0861-0037,09:00 ~ 18:00,033-250-4246,127.69833,37.81319
128,평창군 거점소독시설,강원도 평창군 용평면 장평리 0274-0006,00:00 ~ 24:00,033-330-1334,128.4188,37.57749
129,체리부로(민간거점소독소),충청북도 진천군 이월면 중산리 0512-0003,00:00 ~ 24:00,043-539-3593,127.44896,36.9015
130,농업기술센터(거점1),전라남도 무안군 무안읍 성남리 0582-0001,00:00 ~ 24:00,061-450-4032,126.46718,34.97811
131,보은군 거점소독소,충청북도 보은군 보은읍 어암리 0312-0004,00:00 ~ 24:00,043-540-3542,127.73356,36.48299
132,구미시 거점소독시설,경상북도 구미시 선산읍 생곡리 1348-0000,04:00 ~ 20:00,054-480-5833,128.33282,36.27223
133,안평초소,부산광역시 기장군 철마면 안평리 0584-0094,06:00 ~ 22:00,051-709-2891,129.16973,35.23629
134,기계 거점소독시설,경상북도 포항시 북구 기계면 내단리 329-0,04:00 ~ 20:00,054-270-2723,129.22229,36.06565
135,가평군 거점소독소,경기도 가평군 가평읍 승안리 0124-0004,00:00 ~ 24:00,031-580-4765,127.49922,37.84603
136,음암 거점소독시설,충청남도 서산시 음암면 문양리 0234-0041,00:00 ~ 24:00,041-660-3971,126.52287,36.82415
137,당진 합덕 거점세척소독시설(합덕초소),충청남도 당진시 합덕읍 운산리 0683-0009,00:00 ~ 18:00,041-350-4247,126.75835,36.81024
138,누산리 거점세척소독시설,경기도 김포시 양촌읍 누산리 1063-137,00:00 ~ 24:00,031-5186-4313,126.660411,37.680459
139,공주 우성 목천 거점(통제)소독시설,충청남도 공주시 우성면 목천리 55-24,00:00 ~ 24:00,041-840-3484,127.12473,36.5063
140,팔봉거점소독시설,충청남도 서산시 팔봉면 어송리 0811-0000,05:00 ~ 15:00,041-660-3971,126.35931,36.79195
141,경산시거점소독시설(자인),경상북도 경산시 자인면 북사리 502-0,00:00 ~ 24:00,053-810-6736,128.81289,35.81673
142,군산시(동우),전라북도 군산시 서수면 관원리 0507-0001,05:00 ~ 18:00,063-454-2875,126.8772,36.0106
143,진도군 거점소독시설,전라남도 진도군 군내면 녹진리 0050-4,00:00 ~ 24:00,061-540-6343,126.29712,34.57158
144,군외거점소독시설,전라남도 완도군 군외면 원동리 0929-0001,05:00 ~ 21:00,061-550-5726,126.6294,34.40066
145,논산시거점소독,충청남도 논산시 부적면 덕평리 26-1,00:00 ~ 24:00,041-746-6112,127.15372,36.20142
146,전의면 거점소독시설,세종특별자치시  전의면 유천리 0438-0003,04:00 ~ 20:00,044-300-7626,127.17455,36.68419
147,임실군 거점소독시설,전라북도 임실군 관촌면 슬치리 0263-0002,00:00 ~ 24:00,063-640-2505,127.25382,35.68873
148,정읍시(용계동),전라북도 정읍시 용계동 739-2,00:00 ~ 24:00,063-539-6387,126.80433,35.58879
149,광천 우시장 거점세척소독시설,충청남도 홍성군 광천읍 신진리 222-1,02:00 ~ 18:00,041-630-1397,126.62248,36.51807
150,제주거점소독센터,제주특별자치도 제주시 한림읍 금악리 0545-0000,06:00 ~ 20:00,064-728-3413,126.31003,33.34821
151,남원 가축시장,전라북도 남원시 조산동 573-0,00:00 ~ 24:00,063-620-6421,127.35817,35.39669
152,백암1거점초소,경기도 용인시 처인구 백암면 근곡리 34-3,00:00 ~ 24:00,031-324-2324,127.36298,37.17005
153,상명거점초소,제주특별자치도 제주시 한림읍 상명리 2034-8,04:00 ~ 20:00,064-728-3413,126.26441,33.35726
154,강서구 거점소독시설,부산광역시 강서구 대저1동 1730-2,09:00 ~ 18:00,051-970-4814,128.94873,35.21553
155,동두천시 거점소독시설(농업기술정보센터 옆),경기도 동두천시 상패동 307-7,04:00 ~ 22:00,031-860-2314,127.04358,37.89664
156,안산시 거점소독시설(평일),경기도 안산시 상록구 사동 1584-0000,09:00 ~ 18:00,031-481-2323,126.84452,37.30092
157,고흥 거점소독소1,전라남도 고흥군 동강면 한천리 0726-0001,00:00 ~ 24:00,061-830-5830,127.3485,34.81493
158,영암군도포거점소독초소,전라남도 영암군 도포면 성산리 0097-1,00:00 ~ 24:00,061-470-2040,126.68836,34.86303
159,장성IC 거점소독시설,전라남도 장성군 장성읍 단광리 213-8,00:00 ~ 24:00,061-390-8424,126.79179,35.28128
160,영광우평거점소독장소,전라남도 영광군 영광읍 우평리 0479-0006,00:00 ~ 24:00,061-350-5499,126.5436,35.30369
161,오송 거점소독소,충청북도 청주시 흥덕구 오송읍 오송리 203-2,00:00 ~ 00:00,043-201-0767,127.32464,36.60947
162,광양 거점소독소1,전라남도 광양시 봉강면 석사리 100-0,05:00 ~ 21:00,061-797-2387,127.57407,34.98246
163,적성교차로,경기도 파주시 적성면 두지리 0061-0023,05:00 ~ 18:00,031-940-4503,126.89937,37.96669
164,시흥시 거점소독소,경기도 시흥시 하중동 0271-0000,09:00 ~ 18:00,031-310-2323,126.80839,37.40083
165,부여 거점소독시설,충청남도 부여군 석성면 증산리 1137-0003,00:00 ~ 24:00,041-830-3867,126.99999,36.246
166,울주군 거점소독세척시설,울산광역시 울주군 삼남읍 교동리 0234-0000,05:00 ~ 21:00,052-204-1632,129.12599,35.55899
167,신안군 압해 거점소독장소,전라남도 신안군 압해읍 신용리 92-0,00:00 ~ 24:00,061-240-8381,126.30758,34.87342
168,거점소독시설(효자리),충청남도 아산시 도고면 효자리 180-1,00:00 ~ 24:00,041-537-3861,126.85953,36.74052
169,대정거점소독센터,제주특별자치도 서귀포시 대정읍 동일리 0233-0000,05:00 ~ 20:00,064-760-2792,126.24034,33.26079
170,금악거점초소,제주특별자치도 제주시 한림읍 금악리 762-3,04:00 ~ 22:00,064-728-3413,126.31228,33.37534
171,홍성읍 거점세척소독시설,충청남도 홍성군 홍성읍 고암리 819-19,02:00 ~ 18:00,041-630-1397,126.67274,36.58402
172,무주군(무주IC),전라북도 무주군 무주읍 가옥리 300-0,00:00 ~ 24:00,063-320-2815,127.65113,35.97444
173,전주시,전라북도 전주시 덕진구 도도동 13-7,00:00 ~ 24:00,063-281-5079,127.01813,35.87608
174,가남초소,전라북도 순창군 순창읍 가남리 0007-0004,00:00 ~ 24:00,063-650-5638,127.15308,35.35745
175,함평군 거점소독시설(우시장),전라남도 함평군 학교면 월산리 1392-0015,00:00 ~ 24:00,061-320-1923,126.53074,35.05151
176,진안 거점소독시설(진안IC),전라북도 진안군 진안읍 단양리 산0052-0001,06:00 ~ 22:00,063-433-6002,127.42997,35.77584
177,통제 및 거점소독시설,전라남도 보성군 보성읍 쾌상리 1361-0,00:00 ~ 24:00,061-850-5411,127.069599,34.746061
178,화순군 이동통제초소(거점소독장소),전라남도 화순군 화순읍 다지리 0444-0002,00:00 ~ 24:00,061-379-3656,126.95281,35.01536
179,여수시 통제초소 및 거점소독시설,전라남도 여수시 주삼동 0775-0000,00:00 ~ 24:00,061-659-4443,127.6538,34.78771
180,고양시 농업기술센터(거점소독시설),경기도 고양시 덕양구 원흥동 471-10,06:00 ~ 22:00,031-8075-4607,126.8698,37.64952
181,미원면 거점소독소,충청북도 청주시 상당구 미원면 미원리 297-0,00:00 ~ 24:00,043-201-0766,127.65845,36.63569
182,순천시 거점소독시설,전라남도 순천시 대룡동 900-0,00:00 ~ 24:00,061-749-8717,127.48669,34.90956
183,황산 가축시장,전라북도 김제시 황산면 진흥리 0253-0016,06:00 ~ 18:00,063-540-3689,126.9653,35.79085
184,장흥거점소독시설,전라남도 장흥군 장흥읍 순지리 0112-0001,00:00 ~ 24:00,061-860-6712,126.88756,34.66347
185,사천시 거점소독시설,경상남도 사천시 축동면 탑리 0131-0001,00:00 ~ 24:00,055-831-3781,128.06527,35.10273
